[2026-06-01T06:37:54.751Z] GET https://cdn.plyr.io/3.7.8/plyr.svg → 200 (66ms, 5785B)
[2026-06-01T06:37:54.784Z] GET http://localhost:8765/images/feature.mp4 → 404 (34ms, 335B)
[2026-06-01T06:37:54.833Z] GET http://localhost:8765/images/gallery-1.mp4 → 404 (33ms, 335B)
[2026-06-01T06:37:54.833Z] GET http://localhost:8765/images/gallery-2.mp4 → 404 (13ms, 335B)
[2026-06-01T06:38:06.374Z] GET http://localhost:8765/index.html → 200 (5ms, ?B)
[2026-06-01T06:38:06.399Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, ?B)
[2026-06-01T06:38:06.399Z] GET https://fonts.googleapis.com/css2?family=Barlow+Condensed:ital,wght@0,700;0,900;1,700&family=Inter:wght@400;500;600;700&display=swap → 200 (1ms, ?B)
[2026-06-01T06:38:06.401Z] GET https://cdn.plyr.io/3.7.8/plyr.css → 200 (?ms, ?B)
[2026-06-01T06:38:06.401Z] GET https://unpkg.com/aos@2.3.4/dist/aos.css → 200 (?ms, ?B)
[2026-06-01T06:38:06.401Z] GET https://cdn.plyr.io/3.7.8/plyr.js → 200 (1ms, ?B)
[2026-06-01T06:38:06.402Z] GET https://unpkg.com/aos@2.3.4/dist/aos.js → 200 (?ms, ?B)
[2026-06-01T06:38:06.402Z] GET http://localhost:8765/images/feature.jpg → 200 (7ms, ?B)
[2026-06-01T06:38:06.410Z] GET http://localhost:8765/images/gym-1.jpg → 200 (?ms, ?B)
[2026-06-01T06:38:06.410Z] GET http://localhost:8765/images/gym-2.jpg → 200 (?ms, ?B)
[2026-06-01T06:38:06.480Z] GET https://fonts.gstatic.com/s/barlowcondensed/v13/HTxwL3I-JCGChYJ8VI-L6OO_au7B45L0z3bWuQ.woff2 → 200 (?ms, ?B)
[2026-06-01T06:38:06.480Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (?ms, ?B)
[2026-06-01T06:38:06.524Z] GET http://localhost:8765/images/competition-3.jpg → 200 (?ms, 179567B)
[2026-06-01T06:38:06.524Z] GET http://localhost:8765/images/competition-medal.jpg → 200 (?ms, 210785B)
[2026-06-01T06:38:06.524Z] GET http://localhost:8765/images/competition-1.jpg → 200 (?ms, 177094B)
[2026-06-01T06:38:06.525Z] GET http://localhost:8765/images/competition-2.jpg → 200 (?ms, 170692B)
[2026-06-01T06:38:06.525Z] GET http://localhost:8765/images/transformation.jpg → 200 (?ms, 29064B)
[2026-06-01T06:38:06.594Z] GET http://localhost:8765/images/hero-poster.jpg → 200 (1ms, 180058B)
[2026-06-01T06:38:06.598Z] GET http://localhost:8765/images/feature.mp4 → 404 (15ms, 335B)
[2026-06-01T06:38:06.599Z] GET http://localhost:8765/images/gallery-1.mp4 → 404 (12ms, 335B)
[2026-06-01T06:38:06.599Z] GET http://localhost:8765/images/gallery-2.mp4 → 404 (14ms, 335B)
[2026-06-01T06:38:06.696Z] GET https://cdn.plyr.io/3.7.8/plyr.svg → 200 (15ms, 5785B)
[2026-06-01T06:38:06.707Z] GET http://localhost:8765/images/feature.mp4 → 404 (5ms, 335B)
[2026-06-01T06:38:06.724Z] GET http://localhost:8765/images/gallery-1.mp4 → 404 (?ms, 335B)
[2026-06-01T06:38:06.724Z] GET http://localhost:8765/images/gallery-2.mp4 → 404 (?ms, 335B)
